Altium Designer Pick and Place Locations
C:\Users\alex9\Documents\H4\Designs\H4_EtherCAT_6-Port_Module\H4_EtherCAT_6-Port_Module\Outputs\REV1.2\Pick Place\Pick Place for H4_6-port_EtherCAT_Junction_Module(Rev1.2).csv

========================================================================================================================
File Design Information:

Date:       06-03-24
Time:       20:16
Revision:   fb0401d9011f0438844b06f734d2d52a6a53d859
Variant:    Rev1.2
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R326","CRGP0402F22R","BottomLayer","0402","1503.937","503.937","180","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R325","CRGP0402F22R","BottomLayer","0402","1830.709","440.945","180","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R324","CRGP0402F22R","BottomLayer","0402","1500.000","1602.362","180","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"R323","CRGP0402F22R","BottomLayer","0402","1831.394","1543.307","180","Res Thick Film 0402 22 Ohm 1% 0.125W(1/8W) ±200ppm/C Pad SMD T/R"
"D14","TVS3V3L4UE6327HTSA1","TopLayer","FP-SOT457-MFG","799.213","385.827","90","Trans Voltage Suppressor Diode, 3.3V V(RWM), Unidirectional, 4 Element, Silicon"
"D13","TVS3V3L4UE6327HTSA1","TopLayer","FP-SOT457-MFG","799.213","917.323","90","Trans Voltage Suppressor Diode, 3.3V V(RWM), Unidirectional, 4 Element, Silicon"
"D12","TVS3V3L4UE6327HTSA1","TopLayer","FP-SOT457-MFG","2578.740","543.307","90","Trans Voltage Suppressor Diode, 3.3V V(RWM), Unidirectional, 4 Element, Silicon"
"D11","TVS3V3L4UE6327HTSA1","TopLayer","FP-SOT457-MFG","2582.677","1299.213","90","Trans Voltage Suppressor Diode, 3.3V V(RWM), Unidirectional, 4 Element, Silicon"
"D10","TVS3V3L4UE6327HTSA1","TopLayer","FP-SOT457-MFG","799.213","1448.819","90","Trans Voltage Suppressor Diode, 3.3V V(RWM), Unidirectional, 4 Element, Silicon"
"D9","TVS3V3L4UE6327HTSA1","TopLayer","FP-SOT457-MFG","795.275","1976.378","90","Trans Voltage Suppressor Diode, 3.3V V(RWM), Unidirectional, 4 Element, Silicon"
"TP1","TP_SMD","TopLayer","Pad_1mm","2956.693","2303.150","90","Test point SMD"
"R224","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1464.567","121.430","180","RES SMD 10K OHM 1% 1/16W 0402"
"R164","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1862.205","834.646","0","RES SMD 10K OHM 1% 1/16W 0402"
"R250","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1464.567","51.181","180","RES SMD 10K OHM 1% 1/16W 0402"
